"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 18:47:07 CST 2023","Thu Nov 09 18:47:07 CST 2023","0","747_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 19:41:03 CST 2023","Thu Nov 09 19:41:03 CST 2023","0","60_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"failed","Thu Oct 19 16:41:31 CST 2023","Thu Oct 19 16:44:13 CST 2023","162052","144_testcase","test_login","TestLogin","","","登录127.0.0.1:62001","用户正常登录"
"broken","Thu Nov 09 14:18:11 CST 2023","Thu Nov 09 14:18:11 CST 2023","0","353_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:43:23 CST 2023","Thu Nov 09 22:43:23 CST 2023","0","495_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 18:46:41 CST 2023","Thu Nov 09 18:46:41 CST 2023","0","376_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"passed","Fri Nov 10 11:42:43 CST 2023","Fri Nov 10 11:42:56 CST 2023","12753","67_testcase","test_login","TestLogin","","","首页上滑D5F0218710007612","首页上滑"
"broken","Fri Nov 10 11:18:36 CST 2023","Fri Nov 10 11:18:36 CST 2023","0","424_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 14:00:28 CST 2023","Thu Nov 09 14:00:28 CST 2023","0","444_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"failed","Thu Oct 19 16:34:36 CST 2023","Thu Oct 19 16:35:12 CST 2023","35817","350_testcase","test_login","TestLogin","","","登录127.0.0.1:62001","用户正常登录"
"failed","Thu Nov 09 22:29:37 CST 2023","Thu Nov 09 22:31:34 CST 2023","116429","135_testcase","test_login","TestLogin","","","登录T9Y0221C09002076","用户正常登录"
"broken","Thu Nov 09 20:52:43 CST 2023","Thu Nov 09 20:52:43 CST 2023","0","327_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:10:38 CST 2023","Thu Nov 09 20:10:38 CST 2023","0","532_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 14:03:23 CST 2023","Thu Nov 09 14:03:23 CST 2023","0","124_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:38:34 CST 2023","Thu Nov 09 11:38:34 CST 2023","0","583_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 14:14:27 CST 2023","Thu Nov 09 14:14:27 CST 2023","0","84_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:42:55 CST 2023","Thu Nov 09 11:42:55 CST 2023","0","866_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:44:00 CST 2023","Thu Nov 09 22:44:00 CST 2023","0","511_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 11:54:00 CST 2023","Thu Nov 09 11:54:00 CST 2023","0","942_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:17:56 CST 2023","Thu Nov 09 20:17:56 CST 2023","0","517_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 11:42:04 CST 2023","Thu Nov 09 11:42:04 CST 2023","0","779_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 19:06:17 CST 2023","Thu Nov 09 19:06:17 CST 2023","0","422_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 23:29:37 CST 2023","Wed Oct 18 23:29:37 CST 2023","0","813_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 19:37:53 CST 2023","Thu Nov 09 19:37:53 CST 2023","0","951_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 22:54:27 CST 2023","Wed Oct 18 22:54:27 CST 2023","0","989_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 16:30:55 CST 2023","Thu Nov 09 16:30:55 CST 2023","0","689_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"failed","Thu Nov 09 22:35:22 CST 2023","Thu Nov 09 22:36:52 CST 2023","90361","177_testcase","test_login","TestLogin","","","登录T9Y0221C09002076","用户正常登录"
